record_id,date,description,Matches Homeless/Encampment Filter,Camp,Vehicle,Individual,Active Camp,Abandoned Camp,Transient Camp,Abandoned Vehicle,Mental Health Crisis,Neutral Presence,Daily Activities,Using Drugs,geometry
48213,2023-09-30 20:44:00+00:00,"Encampments on the sidewalk, taking more than the half of the sidewalk.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.151073 32.7083934013263)
9944,2020-05-31 17:15:00,"This homeless encampment has now been set up for over a week and they continue to litter, urinate, loiter, yell obscenities, partake in drug use,and camp on the west side of the Kroc Center on Aragon Drive. They commute daily up and down Alamo Drive to R",True,True,False,False,True,False,False,False,False,False,False,True,POINT (-117.05471667 32.75515333)
9552,2022-02-20 16:47:00,Multiple transient encampments on the walkway next to the post office.,True,True,False,False,False,False,True,False,False,False,True,False,POINT (-117.156867377 32.713717166)
16251,2023-04-25 15:47:00+00:00,"My wife and I live at the Merian at the corner of 11th avenue and G and can't walk down G street there multiple encampments have setup in the last 2 weeks. There appears to be drug use and blocking the sidewalk, making it unsafe for us. Please relocate these encampments.",True,True,False,False,False,False,False,False,False,False,True,True,POINT (-117.1548833 32.7125618391347)
1623,2020-01-11 10:16:00,Homeless,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.125581 32.7547406000001)
6409,2022-02-07 21:49:00,Homeless,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.060116345 32.7545688390001)
6238,2021-02-25 15:49:00,"Camp site set up at Adams Ave end of the I-15 Commuter Bike Trail, on the hill, under a tree to the east of the bike trail.",True,True,False,False,True,False,False,False,False,True,False,False,POINT (-117.10859466 32.76349824)
55737,2023-11-05 21:43:00+00:00,Tent blocking sidewalk individual inside not moving,True,True,False,True,False,False,False,False,False,False,True,False,POINT (-117.1559908 32.717787847299)
9502,2021-03-24 13:46:00,Homeless encampment in canyon area. Possibly near LA Jolla Blvd.  Rp is npd email.  Related to 03286129,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.25867264 32.8068789860001)
13672,2020-07-25 11:33:00,"Homeless encampment, they are illegally entering my place of business through our fence and opening our locked dumpster.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.206344872 32.756713867)
