"Abandoned Camp","Abandoned Vehicle","Active Camp","Camp","Daily Activities","Individual","Matches Homeless/Encampment Filter","Mental Health Crisis","Neutral Presence","Transient Camp","Using Drugs","Vehicle","annotation_id","annotator","camp_sub","created_at","date","description","geometry","id","individual_sub","lead_time","overall","parent","record_id","updated_at","vehicle_sub"
False,False,False,True,False,False,True,False,False,False,False,False,1,"1","Active Camp","2025-03-08T18:17:57.685878Z","2023-09-30 20:44:00+00:00","Encampments on the sidewalk, taking more than the half of the sidewalk.","POINT (-117.151073 32.7083934013263)",501,"",149.512,"Homeless","Camp",48213,"2025-03-08T18:19:49.010940Z",""
False,False,True,True,False,False,True,False,False,False,True,False,2,"1","Active Camp","2025-03-08T18:19:57.718831Z","2020-05-31 17:15:00","This homeless encampment has now been set up for over a week and they continue to litter, urinate, loiter, yell obscenities, partake in drug use,and camp on the west side of the Kroc Center on Aragon Drive. They commute daily up and down Alamo Drive to R","POINT (-117.05471667 32.75515333)",502,"Using Drugs",6.613,"Homeless","Camp",9944,"2025-03-08T18:19:57.718855Z",""
False,False,False,True,True,False,True,False,False,True,False,False,3,"1","Transient Camp","2025-03-08T18:20:44.962572Z","2022-02-20 16:47:00","Multiple transient encampments on the walkway next to the post office.","POINT (-117.156867377 32.713717166)",503,"",45.403,"Homeless","Camp",9552,"2025-03-08T18:20:44.962620Z",""
False,False,False,True,True,False,True,False,False,False,True,False,4,"1","Active Camp","2025-03-08T18:21:10.364785Z","2023-04-25 15:47:00+00:00","My wife and I live at the Merian at the corner of 11th avenue and G and can't walk down G street there multiple encampments have setup in the last 2 weeks. There appears to be drug use and blocking the sidewalk, making it unsafe for us. Please relocate these encampments.","POINT (-117.1548833 32.7125618391347)",504,"Using Drugs",23.394,"Homeless","Camp",16251,"2025-03-08T18:21:10.364815Z",""
False,False,False,True,False,False,True,False,False,False,False,False,5,"1","","2025-03-08T18:21:18.848530Z","2020-01-11 10:16:00","Homeless","POINT (-117.125581 32.7547406000001)",505,"",5.273,"Homeless","",1623,"2025-03-08T18:21:18.848554Z",""
False,False,False,True,False,False,True,False,False,False,False,False,6,"1","","2025-03-08T18:21:22.880965Z","2022-02-07 21:49:00","Homeless","POINT (-117.060116345 32.7545688390001)",506,"",2.163,"Homeless","",6409,"2025-03-08T18:21:22.880989Z",""
False,False,True,True,False,False,True,False,True,False,False,False,7,"1","","2025-03-08T18:26:10.068865Z","2021-02-25 15:49:00","Camp site set up at Adams Ave end of the I-15 Commuter Bike Trail, on the hill, under a tree to the east of the bike trail.","POINT (-117.10859466 32.76349824)",507,"",285.436,"Homeless","Camp",6238,"2025-03-08T18:26:10.068906Z",""
False,False,False,True,True,True,True,False,False,False,False,False,8,"1","Active Camp","2025-03-08T18:27:25.926167Z","2023-11-05 21:43:00+00:00","Tent blocking sidewalk individual inside not moving","POINT (-117.1559908 32.717787847299)",508,"",56.661,"Homeless","Camp",55737,"2025-03-08T18:27:25.926188Z",""
False,False,False,True,False,False,True,False,False,False,False,False,9,"1","","2025-03-08T18:27:50.108081Z","2021-03-24 13:46:00","Homeless encampment in canyon area. Possibly near LA Jolla Blvd.  Rp is npd email.  Related to 03286129","POINT (-117.25867264 32.8068789860001)",509,"",22.477,"Homeless","Camp",9502,"2025-03-08T18:27:50.108107Z",""
False,False,False,True,False,False,True,False,False,False,False,False,10,"1","Active Camp","2025-03-08T18:28:03.086920Z","2020-07-25 11:33:00","Homeless encampment, they are illegally entering my place of business through our fence and opening our locked dumpster.","POINT (-117.206344872 32.756713867)",510,"",11.207,"Homeless","Camp",13672,"2025-03-08T18:28:03.086956Z",""
False,False,False,True,False,False,True,False,False,False,False,False,11,"1","","2025-03-08T18:28:07.311052Z","2023-10-19 18:13:00+00:00","Homeless","POINT (-117.1612055 32.7221434698354)",511,"",2.409,"Homeless","",51237,"2025-03-08T18:28:07.311080Z",""
False,False,False,True,False,False,True,False,False,False,False,False,12,"1","","2025-03-08T18:28:12.245950Z","2023-07-04 01:42:00+00:00","Encampments","POINT (-117.1495805 32.7107466666667)",512,"",3.224,"Homeless","Camp",29018,"2025-03-08T18:28:12.245973Z",""
False,False,False,True,False,False,True,False,False,False,True,False,13,"1","Active Camp","2025-03-08T18:28:38.630893Z","2023-12-03 07:41:00+00:00","Dangerous homeless encampments and drug use surrounding perimeter of Salvation Army building. Sidewalks unsable for pedestrians. Clear out tents ASAP!","POINT (-117.1581989 32.7139763485835)",513,"Using Drugs",22.982,"Homeless","Camp",60220,"2025-03-08T18:28:38.630919Z",""
False,False,False,True,False,False,True,False,False,False,False,False,14,"1","Active Camp","2025-03-08T18:28:55.078743Z","2021-10-05 11:02:00","homeless encampment fire.  Reporting party is SDFD.    FIRE IN RIVER BED","POINT (-117.1189597 32.7115718000001)",514,"",19.573,"Homeless","Camp",28869,"2025-03-08T18:30:27.646439Z",""
False,False,False,True,False,False,True,False,False,False,False,False,15,"1","Active Camp","2025-03-08T18:29:08.680644Z","2023-11-09 17:45:00+00:00","Homeless encampment, Occupant harassing park patrons.","POINT (-117.0416195 32.7044937)",515,"",19.149,"Homeless","Camp",55404,"2025-03-08T18:29:55.106715Z",""
False,False,False,True,False,False,True,False,False,False,False,False,16,"1","","2025-03-08T18:29:16.839685Z","2023-10-04 04:28:00+00:00","4 Homeless camps in between trolley tracks and freeways","POINT (-117.066553 32.5688477)",516,"",6.331,"Homeless","Camp",48092,"2025-03-08T18:29:16.839710Z",""
False,False,True,True,False,False,True,False,False,False,False,False,17,"1","Active Camp","2025-03-08T18:29:31.263400Z","2020-01-30 16:37:00","Homeless camp with lots of trash and stolen items set up next to construction area near San Diego River","POINT (-117.23026369 32.7610236400001)",517,"",26.677999999999997,"Homeless","Camp",616,"2025-03-08T18:29:45.811785Z",""
False,False,False,True,False,False,True,False,False,False,False,False,18,"1","Active Camp","2025-03-08T18:30:19.266892Z","2023-08-31 18:36:00+00:00","Homeless encampment with fire.  The fire has been extinguished.  RP is SDFD.","POINT (-117.1963369 32.7592636)",518,"",11.241,"Homeless","Camp",41267,"2025-03-08T18:30:19.266919Z",""
False,False,False,True,False,False,True,False,False,False,False,False,19,"1","Active Camp","2025-03-08T18:30:43.219762Z","2022-09-09 12:18:00","Encampment blocking sidewalk at sea wall. Not compliant with permit to sell product at beach. They have been in OB pier parking lot most every day for werks","POINT (-117.252724841 32.7480021700001)",519,"",13.112,"Homeless","Camp",41310,"2025-03-08T18:30:43.219792Z",""
False,False,False,True,False,False,True,False,False,False,False,False,20,"1","Active Camp","2025-03-08T18:31:02.133392Z","2023-02-17 23:32:00+00:00","2 adults, 2 -3  children, 1 dog. They were dropped off along with a substantial amount of items including a tepee style tent, bedding, 5-10 bags, food, solar panels, table and a gazebo. Most clothing & bedding items were very quickly hidden in the tent.  They are clearly setting up camp and not just out for a day's picnic. Please don't let beautiful Harbor Island be ruined by homeless activity. This happened around 2 pm Fri 2/17/23. Unfortunately, pictures were taken after much had been hidden in the tent. You can see the bed rolls tucked at the side of the tent and the bulge of the tent.","POINT (-117.2084312 32.7247073599231)",520,"",16.966,"Homeless","Camp",7121,"2025-03-08T18:31:02.133421Z",""
