cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
1,32.712906,-117.149373,90.164017,0.09016,2023/11/29,2024/2/27,2023,11,2024,2,90,12.86,750,107.99,642.01,6.94,813.355291,0.01,True,True,False,0.01,1096,32.712995,-117.149538,0.0183,32.712134,32.713707,-117.150314,-117.148455,0.1749,0.1739
2,32.714485,-117.152421,27.6205,0.02762,2024/4/17,2024/8/13,2024,4,2024,8,118,16.86,424,57.44,366.56,7.38,481.591534,0.01,True,True,False,0.01,519,32.714599,-117.152416,0.0126,32.714376,32.714732,-117.152663,-117.152134,0.0396,0.0495
3,32.740215,-117.158929,87.015582,0.08702,2022/2/23,2022/5/31,2022,2,2022,5,97,13.86,403,55.86,347.14,7.21,449.776266,0.01,True,True,False,0.01,675,32.740134,-117.159109,0.0191,32.739457,32.74097,-117.159636,-117.158107,0.1682,0.143
4,32.709286,-117.164844,77.782289,0.07778,2022/1/1,2022/3/15,2022,1,2022,3,73,10.43,252,17.79,234.21,14.17,434.031761,0.01,True,True,False,0.01,312,32.709353,-117.16456,0.0275,32.708935,32.709936,-117.165537,-117.164078,0.1113,0.1365
5,32.721997,-117.16711,335.657225,0.33566,2024/8/14,2024/12/31,2024,8,2024,12,139,19.86,518,106.85,411.15,4.85,407.280939,0.01,True,True,False,0.01,1084,32.721502,-117.165787,0.1355,32.718988,32.724945,-117.170678,-117.163559,0.6624,0.666
6,32.7151,-117.158403,50.344006,0.05034,2022/10/5,2023/8/15,2022,10,2023,8,314,44.86,874,309.87,564.13,2.82,343.581602,0.01,True,True,False,0.01,1106,32.714872,-117.158336,0.0262,32.714652,32.715538,-117.15877,-117.157889,0.0985,0.0824
7,32.708397,-117.150996,80.795003,0.0808,2023/8/16,2023/12/5,2023,8,2023,12,111,15.86,552,153.73,398.27,3.59,308.081186,0.01,True,True,False,0.01,1079,32.708469,-117.150987,0.0081,32.707791,32.708884,-117.151854,-117.150136,0.1215,0.1607
8,32.715755,-117.155501,82.1345,0.08213,2023/12/20,2024/4/30,2023,12,2024,4,132,18.86,503,131.76,371.24,3.82,303.193162,0.01,True,True,False,0.01,887,32.715859,-117.155313,0.0211,32.715027,32.716478,-117.156356,-117.15468,0.1613,0.1568
9,32.715238,-117.152998,72.572579,0.07257,2023/4/26,2024/1/30,2023,4,2024,1,279,39.86,909,359.78,549.22,2.53,294.65053,0.01,True,True,False,0.01,1106,32.71518,-117.153309,0.0298,32.714592,32.71588,-117.153768,-117.152312,0.1432,0.1362
10,32.710341,-117.152035,139.315611,0.13932,2023/8/9,2023/12/12,2023,8,2023,12,125,17.86,532,163.85,368.15,3.25,258.981786,0.01,True,True,False,0.01,1031,32.710307,-117.152318,0.0267,32.709095,32.7115,-117.153482,-117.150562,0.2674,0.2732
11,32.76687,-117.060285,277.669799,0.27767,2022/2/2,2023/1/24,2022,2,2023,1,356,50.86,798,318.61,479.39,2.5,254.322959,0.01,True,True,False,0.01,1058,32.765926,-117.059277,0.1411,32.764391,32.768694,-117.061538,-117.057517,0.4785,0.376
12,32.711086,-117.157615,116.685439,0.11669,2023/11/29,2024/2/13,2023,11,2024,2,76,10.86,368,86.6,281.4,4.25,251.387604,0.01,True,True,False,0.01,1067,32.710793,-117.158089,0.0551,32.710065,32.711974,-117.158772,-117.15663,0.2123,0.2004
13,32.715605,-117.149028,144.512974,0.14451,2024/4/10,2024/4/23,2024,4,2024,4,13,1.86,113,5.26,107.74,21.48,238.915136,0.01,True,True,False,0.01,395,32.715728,-117.148559,0.0459,32.714426,32.716825,-117.150561,-117.147507,0.2668,0.2857
14,32.706986,-117.146909,194.799884,0.1948,2023/8/2,2023/10/24,2023,8,2023,10,83,11.86,421,116.05,304.95,3.63,237.965389,0.01,True,True,False,0.01,1006,32.707315,-117.147499,0.0663,32.70524,32.708707,-117.148859,-117.144965,0.3855,0.3643
15,32.72027,-117.16232,142.884155,0.14288,2024/1/24,2024/10/22,2024,1,2024,10,272,38.86,712,281.19,430.81,2.53,231.499806,0.01,True,True,False,0.01,1091,32.720334,-117.162411,0.0111,32.719051,32.721523,-117.163774,-117.161029,0.2749,0.2568
16,32.704088,-117.150922,264.406541,0.26441,2023/5/10,2023/8/1,2023,5,2023,8,83,11.86,374,97.99,276.01,3.82,225.273049,0.01,True,True,False,0.01,981,32.705182,-117.150771,0.1225,32.702192,32.70639,-117.153434,-117.148193,0.4668,0.4904
17,32.756915,-117.108254,107.371186,0.10737,2022/1/1,2022/1/25,2022,1,2022,1,24,3.43,95,3.45,91.55,27.51,223.36956,0.01,True,True,False,0.01,187,32.75716,-117.108829,0.0602,32.756731,32.757826,-117.109363,-117.107188,0.1218,0.2034
18,32.749724,-117.122058,82.527751,0.08253,2023/1/11,2023/3/14,2023,1,2023,3,62,8.86,227,37.78,189.22,6.01,218.005674,0.01,True,True,False,0.01,660,32.749547,-117.122306,0.0304,32.748986,32.750354,-117.122894,-117.12151,0.1521,0.1294
19,32.714753,-117.157504,45.327172,0.04533,2023/4/26,2023/8/8,2023,4,2023,8,104,14.86,420,124.63,295.37,3.37,215.280815,0.01,True,True,False,0.01,1060,32.714728,-117.157512,0.0029,32.714348,32.71516,-117.157985,-117.157025,0.0903,0.0898
20,32.713053,-117.15818,70.296141,0.0703,2023/9/27,2023/12/19,2023,9,2023,12,83,11.86,252,48.03,203.97,5.25,213.941938,0.01,True,True,False,0.01,487,32.713497,-117.15813,0.0496,32.712528,32.713682,-117.15862,-117.157431,0.1283,0.1112
21,32.72257,-117.161252,71.8694,0.07187,2023/7/26,2023/10/24,2023,7,2023,10,90,12.86,312,73.91,238.09,4.22,211.494412,0.01,True,True,False,0.01,621,32.722816,-117.161112,0.0303,32.721933,32.723212,-117.162017,-117.160671,0.1422,0.1259
22,32.725338,-117.160993,152.546505,0.15255,2024/3/20,2024/6/18,2024,3,2024,6,90,12.86,247,46.74,200.26,5.28,211.107575,0.01,True,True,False,0.01,523,32.72537,-117.160344,0.0608,32.723973,32.726536,-117.162567,-117.159406,0.285,0.2957
23,32.751307,-117.122477,158.688109,0.15869,2022/3/23,2022/10/25,2022,3,2022,10,216,30.86,392,117.09,274.91,3.35,199.095391,0.01,True,True,False,0.01,548,32.750645,-117.122939,0.0853,32.749889,32.752446,-117.124158,-117.121683,0.2843,0.2315
24,32.707572,-117.161086,265.293286,0.26529,2022/4/6,2022/7/12,2022,4,2022,7,97,13.86,244,50.19,193.81,4.86,192.204573,0.01,True,True,False,0.01,566,32.708351,-117.162145,0.1316,32.706545,32.709947,-117.163599,-117.158584,0.3783,0.4692
25,32.714098,-117.159171,81.341396,0.08134,2023/4/19,2023/5/23,2023,4,2023,5,34,4.86,185,30.36,154.64,6.09,179.782245,0.01,True,True,False,0.01,724,32.714151,-117.158515,0.0616,32.713545,32.71478,-117.15985,-117.158304,0.1373,0.1446
26,32.753931,-117.058484,48.520041,0.04852,2022/7/6,2022/9/6,2022,7,2022,9,62,8.86,105,7.7,97.3,13.63,177.042493,0.01,True,True,False,0.01,119,32.753782,-117.05839,0.0188,32.753527,32.754344,-117.058981,-117.058053,0.0908,0.0868
27,32.707465,-117.15363,97.88644,0.09789,2023/7/5,2023/8/8,2023,7,2023,8,34,4.86,176,29.68,146.32,5.93,167.049215,0.01,True,True,False,0.01,724,32.707877,-117.153715,0.0465,32.706594,32.70833,-117.154541,-117.152724,0.193,0.17
28,32.751754,-117.252019,271.391672,0.27139,2024/5/15,2024/10/8,2024,5,2024,10,146,20.86,412,144.28,267.72,2.86,164.898571,0.01,True,True,False,0.01,1081,32.751456,-117.252088,0.0337,32.749339,32.754128,-117.253123,-117.249327,0.5325,0.355
29,32.760458,-117.064652,169.314306,0.16931,2023/6/14,2023/8/1,2023,6,2023,8,48,6.86,124,14.29,109.71,8.68,158.243998,0.01,True,True,False,0.01,265,32.760458,-117.065445,0.0742,32.759593,32.761956,-117.066427,-117.063265,0.2628,0.2957
30,32.70928,-117.151733,57.134885,0.05713,2022/1/1,2022/3/15,2022,1,2022,3,73,10.43,152,23.42,128.58,6.49,155.793219,0.01,True,True,False,0.01,412,32.709145,-117.151914,0.0226,32.708773,32.709742,-117.152309,-117.151501,0.1077,0.0756
31,32.752792,-117.068583,259.098664,0.2591,2024/2/14,2024/9/3,2024,2,2024,9,202,28.86,194,39.87,154.13,4.87,152.934447,0.01,True,True,False,0.01,208,32.752334,-117.066849,0.1699,32.75093,32.75353,-117.069753,-117.066042,0.2891,0.347
32,32.745685,-117.183398,292.868333,0.29287,2024/9/18,2024/9/24,2024,9,2024,9,6,0.86,47,0.76,46.24,61.94,147.699952,0.01,True,True,False,0.01,106,32.74415,-117.183869,0.1763,32.743127,32.746791,-117.186034,-117.180528,0.4074,0.5149
33,32.755505,-117.124353,165.573233,0.16557,2024/7/31,2024/12/31,2024,7,2024,12,153,21.86,224,54.5,169.5,4.11,147.251703,0.01,True,True,False,0.01,492,32.755373,-117.12537,0.0962,32.754134,32.756832,-117.126096,-117.123337,0.3,0.258
