cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
1,32.71319,-117.149417,185.062155,0.18506,2023/12/13,2024/3/5,2023,12,2024,3,83,11.86,1094,217.97,876.03,5.02,892.316849,0.005,True,True,False,0.00497512,2438,32.712912,-117.149743,0.0434,32.711534,32.714798,-117.151353,-117.147658,0.3629,0.3457
2,32.709382,-117.152214,226.343529,0.22634,2023/7/19,2023/12/5,2023,7,2023,12,139,19.86,2084,825.53,1258.47,2.52,678.526438,0.005,True,True,False,0.00497512,4650,32.708978,-117.152117,0.0458,32.70736,32.711361,-117.154594,-117.149827,0.4449,0.446
3,32.71446,-117.157952,89.258133,0.08926,2022/11/2,2023/8/8,2022,11,2023,8,279,39.86,2832,1354.72,1477.28,2.09,620.952421,0.005,True,True,False,0.00497512,5483,32.714363,-117.158061,0.0148,32.71366,32.715238,-117.158862,-117.157012,0.1755,0.1731
4,32.715483,-117.153261,108.25898,0.10826,2023/4/26,2024/1/30,2023,4,2024,1,279,39.86,1974,860.49,1113.51,2.29,531.147801,0.005,True,True,False,0.00497512,2535,32.715266,-117.153516,0.034,32.714548,32.716397,-117.154243,-117.152125,0.2056,0.1982
5,32.720762,-117.16462,281.499579,0.2815,2024/2/28,2024/12/31,2024,2,2024,12,307,43.86,1594,653.15,940.85,2.44,485.305261,0.005,True,True,False,0.00497512,2548,32.720866,-117.163723,0.0847,32.718345,32.723286,-117.167287,-117.161618,0.5494,0.5303
6,32.714485,-117.152421,27.6205,0.02762,2024/4/17,2024/8/13,2024,4,2024,8,118,16.86,424,57.44,366.56,7.38,481.591534,0.005,True,True,False,0.00497512,519,32.714599,-117.152416,0.0126,32.714376,32.714732,-117.152663,-117.152134,0.0396,0.0495
7,32.740215,-117.158929,87.015582,0.08702,2022/2/23,2022/5/31,2022,2,2022,5,97,13.86,403,55.86,347.14,7.21,449.776266,0.005,True,True,False,0.00497512,675,32.740134,-117.159109,0.0191,32.739457,32.74097,-117.159636,-117.158107,0.1682,0.143
8,32.712329,-117.163059,386.79953,0.3868,2022/1/1,2022/4/12,2022,1,2022,4,101,14.43,542,106.71,435.29,5.08,446.378045,0.005,True,True,False,0.00497512,1309,32.71109,-117.162699,0.1418,32.708883,32.715657,-117.166608,-117.159011,0.7532,0.7108
9,32.768488,-117.043616,2166.40513,2.16641,2022/2/2,2022/8/30,2022,2,2022,8,209,29.86,1584,734.88,849.12,2.16,370.653791,0.005,True,True,False,0.00497512,3848,32.764636,-117.057904,1.4029,32.751785,32.787231,-117.065623,-117.035993,3.9414,2.7704
10,32.715161,-117.155484,120.838803,0.12084,2023/12/20,2024/4/30,2023,12,2024,4,132,18.86,633,193.19,439.81,3.28,312.300428,0.005,True,True,False,0.00497512,1370,32.715399,-117.155419,0.0272,32.714265,32.716246,-117.156757,-117.15429,0.2203,0.2308
11,32.711325,-117.157534,258.667587,0.25867,2023/11/15,2024/2/13,2023,11,2024,2,90,12.86,632,212.46,419.54,2.97,270.218578,0.005,True,True,False,0.00497512,2161,32.711626,-117.15793,0.0499,32.709288,32.713648,-117.160255,-117.154774,0.4848,0.5128
12,32.697542,-117.14613,1133.478232,1.13348,2023/5/10,2023/11/7,2023,5,2023,11,181,25.86,1282,626.02,655.98,2.05,264.890091,0.005,True,True,False,0.00497512,2713,32.705156,-117.148418,0.8732,32.692687,32.707708,-117.153434,-117.13409,1.6703,1.8101
13,32.71516,-117.148082,143.923987,0.14392,2024/4/10,2024/4/23,2024,4,2024,4,13,1.86,111,5.61,105.39,19.8,226.063368,0.005,True,True,False,0.00497512,418,32.71554,-117.148096,0.0422,32.713978,32.716393,-117.149491,-117.146575,0.2685,0.2728
14,32.777813,-117.226457,2283.453246,2.28345,2022/6/29,2022/12/6,2022,6,2022,12,160,22.86,889,397.51,491.49,2.24,225.128377,0.005,True,True,False,0.00497512,2768,32.777062,-117.224635,0.1897,32.757324,32.797452,-117.25084,-117.202426,4.462,4.5262
15,32.756915,-117.108254,107.371186,0.10737,2022/1/1,2022/1/25,2022,1,2022,1,24,3.43,95,3.45,91.55,27.51,223.36956,0.005,True,True,False,0.00497512,187,32.75716,-117.108829,0.0602,32.756731,32.757826,-117.109363,-117.107188,0.1218,0.2034
16,32.749724,-117.122058,82.527751,0.08253,2023/1/11,2023/3/14,2023,1,2023,3,62,8.86,227,37.78,189.22,6.01,218.005674,0.005,True,True,False,0.00497512,660,32.749547,-117.122306,0.0304,32.748986,32.750354,-117.122894,-117.12151,0.1521,0.1294
17,32.751775,-117.125782,424.579652,0.42458,2022/3/9,2022/5/24,2022,3,2022,5,76,10.86,467,148.81,318.19,3.14,216.352141,0.005,True,True,False,0.00497512,2114,32.751249,-117.123815,0.193,32.747966,32.755587,-117.130059,-117.121906,0.8474,0.7624
18,32.72257,-117.161252,71.8694,0.07187,2023/7/26,2023/10/24,2023,7,2023,10,90,12.86,312,73.91,238.09,4.22,211.494412,0.005,True,True,False,0.00497512,621,32.722816,-117.161112,0.0303,32.721933,32.723212,-117.162017,-117.160671,0.1422,0.1259
19,32.725338,-117.160993,152.546505,0.15255,2024/3/20,2024/6/18,2024,3,2024,6,90,12.86,247,46.74,200.26,5.28,211.107575,0.005,True,True,False,0.00497512,523,32.72537,-117.160344,0.0608,32.723973,32.726536,-117.162567,-117.159406,0.285,0.2957
20,32.708683,-117.161132,193.418834,0.19342,2022/4/27,2022/7/12,2022,4,2022,7,76,10.86,210,37.56,172.44,5.59,189.159542,0.005,True,True,False,0.00497512,526,32.708427,-117.162196,0.1035,32.707149,32.710393,-117.163196,-117.159206,0.3607,0.3733
21,32.752974,-117.251477,398.314895,0.39831,2024/5/1,2024/8/20,2024,5,2024,8,111,15.86,486,182.63,303.37,2.66,172.709115,0.005,True,True,False,0.00497512,1733,32.752727,-117.25126,0.0341,32.749408,32.756447,-117.253108,-117.247424,0.7827,0.5315
22,32.760458,-117.064652,169.314306,0.16931,2023/6/14,2023/8/1,2023,6,2023,8,48,6.86,124,14.29,109.71,8.68,158.243998,0.005,True,True,False,0.00497512,265,32.760458,-117.065445,0.0742,32.759593,32.761956,-117.066427,-117.063265,0.2628,0.2957
23,32.70928,-117.151733,57.134885,0.05713,2022/1/1,2022/3/15,2022,1,2022,3,73,10.43,152,23.42,128.58,6.49,155.793219,0.005,True,True,False,0.00497512,412,32.709145,-117.151914,0.0226,32.708773,32.709742,-117.152309,-117.151501,0.1077,0.0756
24,32.712199,-117.150347,59.247744,0.05925,2023/11/1,2023/11/28,2023,11,2023,11,27,3.86,125,15.04,109.96,8.31,154.800622,0.005,True,True,False,0.00497512,435,32.712263,-117.150265,0.0105,32.711667,32.712717,-117.150627,-117.149793,0.1168,0.078
25,32.752792,-117.068583,259.098664,0.2591,2024/2/14,2024/9/3,2024,2,2024,9,202,28.86,194,39.87,154.13,4.87,152.934447,0.005,True,True,False,0.00497512,208,32.752334,-117.066849,0.1699,32.75093,32.75353,-117.069753,-117.066042,0.2891,0.347
26,32.745685,-117.183398,292.868333,0.29287,2024/9/18,2024/9/24,2024,9,2024,9,6,0.86,47,0.76,46.24,61.94,147.699952,0.005,True,True,False,0.00497512,106,32.74415,-117.183869,0.1763,32.743127,32.746791,-117.186034,-117.180528,0.4074,0.5149
27,32.755505,-117.124353,165.573233,0.16557,2024/7/31,2024/12/31,2024,7,2024,12,153,21.86,224,54.5,169.5,4.11,147.251703,0.005,True,True,False,0.00497512,492,32.755373,-117.12537,0.0962,32.754134,32.756832,-117.126096,-117.123337,0.3,0.258
28,32.98142,-117.25067,14267.176765,14.26718,2022/2/23,2022/6/28,2022,2,2022,6,125,17.86,522,222.58,299.42,2.35,145.920453,0.005,True,True,False,0.00497512,1890,32.905784,-117.173572,11.0676,32.853776,33.021159,-117.261185,-117.098346,18.6121,15.1889
29,32.760573,-117.067318,82.098789,0.0821,2024/7/17,2024/11/19,2024,7,2024,11,125,17.86,160,30.36,129.64,5.27,136.37473,0.005,True,True,False,0.00497512,287,32.760558,-117.067337,0.0025,32.759928,32.761274,-117.068195,-117.066629,0.1497,0.1464
30,32.751746,-117.153473,341.371574,0.34137,2024/4/17,2024/5/28,2024,4,2024,5,41,5.86,174,36.56,137.44,4.76,134.120648,0.005,True,True,False,0.00497512,877,32.750812,-117.154244,0.1264,32.748683,32.753699,-117.156859,-117.149869,0.5578,0.6537
