x,y,service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,case_record_type,service_name,service_name_detail,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,iamfloc,floc,public_description,ObjectId
-117.1545261,32.71693621,4563179,,,2024/01/01 08:32:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71693621,-117.1545261,"1114 11TH AV, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-005228,SS-005228,Homeless encampment,1
-117.1317768,32.74856814,4563180,,,2024/01/01 08:36:00+00,10,Neighborhood Policing,Encampment,,2024/01/11,Closed,32.74856814,-117.1317768,"2874 UNIVERSITY AV, San Diego, CA 92104, USA",92104,3,28,North Park,,Mobile,,SS-027156,SS-027156,homeless encampment overnight on university avenue (and other parts of north park)?a recent uptick for some reason?,2
-117.1168197,32.91666155,4563181,4562634,,2024/01/01 08:38:00+00,2,ESD Complaint/Report,Encampment,,2024/01/03,Closed,32.91666155,-117.1168197,"Escondido Fwy, San Diego, CA 92126, USA",92126,6,15,Mira Mesa,,Web,,,,"Lots and lots of shopping carts and belongings, including a large mirror, in the landscaping of the freeway entrance. Also spilling out onto the sidewalk of Mira mesa blvd.",3
-117.1588489,32.71385297,4563187,4559798,,2024/01/01 09:14:00+00,4,Neighborhood Policing,Encampment,,2024/01/05,Closed,32.71385297,-117.1588489,813 Sixth Avenue,92101,3,4,Downtown,,Mobile,,SS-010715,SS-010715,Homeless Andaz,4
-117.1481472,32.70517395,4563192,,,2024/01/01 11:23:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.70517395,-117.1481472,1721 Commercial St,92113,8,2,Barrio Logan,,Mobile,,SS-007733,SS-007733,Camping in a no camping zone,5
-117.1573777,32.71506456,4563198,,,2024/01/01 14:03:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71506456,-117.1573777,815 E Street,92101,3,4,Downtown,,Mobile,,SS-000268,SS-000268,Encampment activity,6
-117.1573693,32.71496667,4563199,4563198,,2024/01/01 14:08:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71496667,-117.1573693,815 E Street,92101,3,4,Downtown,,Mobile,,SS-000268,SS-000268,Encampment activity,7
-117.157369,32.71526879,4563200,,,2024/01/01 14:09:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71526879,-117.157369,965 Eighth Avenue,92101,3,4,Downtown,,Mobile,,SS-000268,SS-000268,Encampment activity,8
-117.1503693,32.71409529,4563201,,,2024/01/01 14:33:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.71409529,-117.1503693,"840 15TH ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000400,SS-000400,Whole 15th street is blocked out by tent city can I have officers remove them off the street please,9
-117.1504593,32.7115606,4563203,4554985,,2024/01/01 14:35:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.7115606,-117.1504593,"1496 MARKET ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-017577,SS-017577,Same individual on market street still has his items there and refusing to relocate on market and 16th church of water,10
-117.1503215,32.71159527,4563205,4554985,,2024/01/01 14:36:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71159527,-117.1503215,"602 15TH ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000394,SS-000394,Multiple individuals camped out on G street and 15th with drug activity need them removed please,11
-117.1503687,32.71282136,4563206,4561575,,2024/01/01 14:37:00+00,7,ESD Complaint/Report,Encampment,,2024/01/08,Closed,32.71282136,-117.1503687,"718 15TH ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000401,SS-000401,16th street to F street full of individuals camped out with there tents need them relocated please,12
-117.1494934,32.71356106,4563207,4562833,,2024/01/01 14:38:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71356106,-117.1494934,"790 16TH ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000418,SS-000418,Individuals on the corner of F and 16 inn between 15 multiple transients camped out on sidewalk after city workers removed them,13
-117.1511724,32.7511813,4563225,4556028,,2024/01/01 15:01:00+00,7,Neighborhood Policing,Encampment,,2024/01/08,Closed,32.7511813,-117.1511724,Richmond St,92103,3,42,Uptown,,Mobile,,SS-023137,SS-023137,2 encampments again.  Impending traffic,14
-117.0859565,32.59102135,4563226,,,2024/01/01 15:02:00+00,81,Neighborhood Policing,Encampment,,2024/03/22,Closed,32.59102135,-117.0859565,"Otay Vly Trl, San Diego, CA 92154, USA",92154,8,25,Otay Mesa-Nestor,OTAY VALLEY REGIONAL PARK,GID Field,,,,,15
-117.1496175,32.71272636,4563236,4562908,,2024/01/01 15:19:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71272636,-117.1496175,716 16th St,92101,3,4,Downtown,,Mobile,,SS-011684,SS-011684,Encampments  blocking  sidewalk access G between 15 and 16 north  side  of the street,16
-117.1495649,32.71309422,4563241,4558270,,2024/01/01 15:27:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71309422,-117.1495649,"742 16TH ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000418,SS-000418,Encampments blocking sidewalk access 16 between G and F,17
-117.1559323,32.71616367,4563243,,,2024/01/01 15:31:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71616367,-117.1559323,"1040 10TH AV, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000317,SS-000317,Multiple encampments with 602 by 1000 Broadway lucky tattoos,18
-117.2786215,32.82508756,4563244,,,2024/01/01 15:31:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.82508756,-117.2786215,232 Winamar Ave,92037,1,10,La Jolla,,Mobile,,SS-028880,SS-028880,White SUV Camping parked in car on public street,19
-117.1708937,32.71390323,4563247,4561754,,2024/01/01 15:35:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.71390323,-117.1708937,825 W E St,92101,3,4,Downtown,,Mobile,,SS-020921,SS-020921,3rd day in a row homeless camp on Pacific not cleared and blocking pedestrian right of way - making people walk in traffic.,20
-117.1647778,32.70963046,4563249,,,2024/01/01 15:38:00+00,0,Neighborhood Policing,Encampment,,2024/01/01,Closed,32.70963046,-117.1647778,Mlk Path,92101,3,4,Downtown,,Mobile,,SS-011592,SS-011592,Encampment blocking bike path next to Children?s park,21
-117.1548406,32.71810646,4563250,,,2024/01/01 15:40:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71810646,-117.1548406,1210 11th Ave,92101,3,4,Downtown,,Mobile,,SS-000331,SS-000331,Security Ambassador 602 by Burger King 1010 c St,22
-117.1498674,32.71351306,4563255,,,2024/01/01 15:45:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71351306,-117.1498674,753 15th St,92101,3,4,Downtown,,Mobile,,SS-010724,SS-010724,Encampments blocking sidewalk access F between 15 and 16,23
-117.1575933,32.71480024,4563257,,,2024/01/01 15:46:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71480024,-117.1575933,782 E Street,92101,3,4,Downtown,,Mobile,,SS-009658,SS-009658,E Street and 8th Avenue encapment,24
-117.1503051,32.71326497,4563260,4560384,,2024/01/01 15:49:00+00,3,ESD Complaint/Report,Encampment,,2024/01/04,Closed,32.71326497,-117.1503051,741 15th St,92101,3,4,Downtown,,Mobile,,SS-000401,SS-000401,Encampments blocking sidewalk access on 15 between  G and f,25
-117.0497998,32.76852184,4563261,,,2024/01/01 15:50:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.76852184,-117.0497998,6825 El Cajon Blvd,92115,9,57,Mid-City:Eastern Area,,Mobile,,SS-009962,SS-009962,Homeless camp,26
-117.0640151,32.76336362,4563262,,,2024/01/01 15:51:00+00,13,Neighborhood Policing,Encampment,,2024/01/14,Closed,32.76336362,-117.0640151,6210 El Cajon Blvd,92115,9,38,College Area,,Mobile,,SS-009975,SS-009975,Homeless camp,27
-117.0683884,32.76090751,4563263,4549017,,2024/01/01 15:51:00+00,56,ESD Complaint/Report,Encampment,,2024/02/26,Closed,32.76090751,-117.0683884,6010 El Cajon Blvd,92115,9,38,College Area,,Mobile,,SS-009978,SS-009978,Homeless camp,28
-117.0686318,32.76046479,4563264,4561696,,2024/01/01 15:52:00+00,15,ESD Complaint/Report,Encampment,,2024/01/16,Closed,32.76046479,-117.0686318,5985 El Cajon Blvd,92115,9,57,Mid-City:Eastern Area,,Mobile,,SS-009978,SS-009978,Homeless camp has been here for weeks.,29
-117.1612324,32.7181708,4563275,4554194,,2024/01/01 16:04:00+00,4,Neighborhood Policing,Encampment,,2024/01/05,Closed,32.7181708,-117.1612324,1232 Fourth Ave,92101,3,4,Downtown,,Mobile,,SS-000133,SS-000133,Homeless camping on street,30
-117.1547486,32.71552675,4563278,,,2024/01/01 16:05:00+00,8,Neighborhood Policing,Encampment,,2024/01/09,Closed,32.71552675,-117.1547486,978?998 11th Ave,92101,3,4,Downtown,,Mobile,,SS-000334,SS-000334,Encampment,31
-117.1614369,32.71770937,4563282,,,2024/01/01 16:07:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71770937,-117.1614369,345 B St,92101,3,4,Downtown,,Mobile,,SS-003289,SS-003289,Homeless,32
-117.155,32.71564167,4563284,,,2024/01/01 16:08:00+00,5,Neighborhood Policing,Encampment,,2024/01/06,Closed,32.71564167,-117.155,"1068 BROADWAY, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-004933,SS-004933,Encampment,33
-117.1552484,32.71576738,4563285,,,2024/01/01 16:09:00+00,7,ESD Complaint/Report,Encampment,,2024/01/08,Closed,32.71576738,-117.1552484,"1040 BROADWAY, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-004933,SS-004933,Encampment,34
-117.1548992,32.71581509,4563288,4561775,,2024/01/01 16:12:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71581509,-117.1548992,1030 Broadway,92101,3,4,Downtown,,Mobile,,SS-004933,SS-004933,Encampment,35
-117.1443945,32.70287,4563290,,,2024/01/01 16:15:00+00,13,Neighborhood Policing,Encampment,,2024/01/14,Closed,32.70287,-117.1443945,CA-75 N,92113,8,37,Southeastern San Diego,,Mobile,,SS-014940,SS-014940,A Growing Homeless Camp less than Half a Block away from Our Lady?s Catholic School & from Our Lady of Guadalupe Catholic Church in San Diego.,36
-117.1610677,32.71487387,4563291,,,2024/01/01 16:15:00+00,4,Neighborhood Policing,Encampment,,2024/01/05,Closed,32.71487387,-117.1610677,900 Fourth Ave,92101,3,4,Downtown,,Mobile,,SS-000136,SS-000136,Smoking crack on the street! Heart of downtown! 933 Fourth Ave. doorway,37
-117.1548931,32.71596834,4563292,,,2024/01/01 16:15:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71596834,-117.1548931,1030 Broadway,92101,3,4,Downtown,,Mobile,,SS-000333,SS-000333,Encampment,38
-117.1538902,32.71539622,4563299,,,2024/01/01 16:21:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71539622,-117.1538902,"966 PARK BL, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000348,SS-000348,Encampment,39
-117.153658,32.70814712,4563300,,,2024/01/01 16:22:00+00,8,Neighborhood Policing,Encampment,,2024/01/09,Closed,32.70814712,-117.153658,K St,92101,3,4,Downtown,,Mobile,,SS-000357-PV1,SS-000357-PV1,Encampment blocking the sidewalk,40
-117.146125,32.70417833,4563302,,,2024/01/01 16:26:00+00,9,Neighborhood Policing,Encampment,,2024/01/10,Referred,32.70417833,-117.146125,1730 Kearney Ave,92113,8,37,Southeastern San Diego,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,SS-014939,SS-014939,Another Growing Homeless Camp less than Half a Block away from Our Lady?s Catholic Elementary School & from Our Lady of Guadalupe Catholic Church in San Diego.,41
-117.1550485,32.71685046,4563304,,,2024/01/01 16:30:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71685046,-117.1550485,"1064 C ST, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-005229,SS-005229,Encampment,42
-117.1575129,32.71066509,4563305,4558141,,2024/01/01 16:31:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71066509,-117.1575129,"518 08TH AV, San Diego, CA 92101, USA",92101,3,4,Downtown,,Mobile,,SS-000272,SS-000272,Encampments  blocking sidewalk access on 8 between  island  and  Market,43
